Base Game,Variant,Standard(s)/Grade,Engine Family,Mechanic Summary,Digital Fit,Notes
Scuttle,Addition & Subtraction Scuttle,3.NBT.A.2,Scuttle: Closest-to-Target,"Build 1 number/round x3, combine at end w/ +/-, closest to target wins",Built,Live: scuttle-addition-subtraction.html
Scuttle,Product Scuttle,4.NBT.B.4,Scuttle: Split-Operate-Threshold,"Split shared dice into 2 numbers/round x3, multiply, sum, smallest-over-threshold wins",Built,Live: scuttle-product.html
Scuttle,Remainder Scuttle,4.NBT.B.6,Scuttle: Split-Operate-Threshold,"Same as Product but divide, keep remainder, min sum >=10",Good fit - reuse Product engine,"Swap operator to division+remainder, tiny score range needs bot redesign"
Scuttle,Difference Scuttle,2.NBT.B.5/7,Scuttle: Split-Operate-Threshold,Same shell as Product but subtract; formats 2-digit(100) / 3-digit(500),Good fit - reuse Product engine,Swap operator to subtraction
Scuttle,Super Product Scuttle,5.NBT.B.5,Scuttle: Split-Operate-Threshold,"6 dice, freely choose digit split (not fixed format) + d10 'modifier roll' table (10 rule variants)","Good fit, extra scope",Needs free-split UI + modifier roulette layer
Scuttle,Super Decimal Scuttle,5.NBT.B.7,Scuttle: Split-Operate-Threshold,"5 dice, free digit split, one number gets a decimal point, multiply, sum 3 rounds",Good fit,Needs decimal-point tile (already conceptually designed) + free-split UI
Scuttle,Decimal Scuttle,5.NBT.B.7,Gems/Board-Fill (merge candidate),"4 turns, roll 2 dice/turn, fill personal 4-slot board (top/bottom/left/right), compare sum(top+bottom) vs sum(left+right), smallest difference wins","Good fit, different shell",Structurally same as Gems family - shared dice pool + personal board fill
Beeline,Product Beeline,"3.OA.A.4/C.7, 3.NBT.A.3",Beeline: Connect-4 Value-Claim,"Move token(s) on 1-2 number rows, compute a value via the variant's function, mark matching board cell, get 4 in a row",Great fit - single reusable engine,~15 variants share ONE engine; only the value-function + board content changes
Beeline,Product of Tens Beeline,"3.OA.A.4/C.7, 3.NBT.A.3",Beeline: Connect-4 Value-Claim,"Move token(s) on 1-2 number rows, compute a value via the variant's function, mark matching board cell, get 4 in a row",Great fit - single reusable engine,~15 variants share ONE engine; only the value-function + board content changes
Beeline,Product of 10s and 100s Beeline,3.OA.A.4/C.7,Beeline: Connect-4 Value-Claim,"Move token(s) on 1-2 number rows, compute a value via the variant's function, mark matching board cell, get 4 in a row",Great fit - single reusable engine,~15 variants share ONE engine; only the value-function + board content changes
Beeline,Multiplication Representations Beeline,3.OA.A.1,Beeline: Connect-4 Value-Claim,"Move token(s) on 1-2 number rows, compute a value via the variant's function, mark matching board cell, get 4 in a row",Great fit - single reusable engine,~15 variants share ONE engine; only the value-function + board content changes
Beeline,Difference Beeline,"1.OA.C.6, 3.NBT.A.2",Beeline: Connect-4 Value-Claim,"Move token(s) on 1-2 number rows, compute a value via the variant's function, mark matching board cell, get 4 in a row",Great fit - single reusable engine,~15 variants share ONE engine; only the value-function + board content changes
Beeline,Addition Beeline,4.NBT.B.4,Beeline: Connect-4 Value-Claim,"Move token(s) on 1-2 number rows, compute a value via the variant's function, mark matching board cell, get 4 in a row",Great fit - single reusable engine,~15 variants share ONE engine; only the value-function + board content changes
Beeline,Mixed Number Beeline,4.NF.B.3.c,Beeline: Connect-4 Value-Claim,"Move token(s) on 1-2 number rows, compute a value via the variant's function, mark matching board cell, get 4 in a row",Great fit - single reusable engine,~15 variants share ONE engine; only the value-function + board content changes
Beeline,Decimal Beeline,4.NF.C.6,Beeline: Connect-4 Value-Claim,"Move token(s) on 1-2 number rows, compute a value via the variant's function, mark matching board cell, get 4 in a row",Great fit - single reusable engine,~15 variants share ONE engine; only the value-function + board content changes
Beeline,Time Beeline,2.MD.C.7,Beeline: Connect-4 Value-Claim,"Move token(s) on 1-2 number rows, compute a value via the variant's function, mark matching board cell, get 4 in a row",Great fit - single reusable engine,~15 variants share ONE engine; only the value-function + board content changes
Beeline,Rounding Beeline,5.NBT.A.4,Beeline: Connect-4 Value-Claim,"Move token(s) on 1-2 number rows, compute a value via the variant's function, mark matching board cell, get 4 in a row",Great fit - single reusable engine,~15 variants share ONE engine; only the value-function + board content changes
Beeline,Fractions and Whole Numbers Beeline,5.NF.B.4.a,Beeline: Connect-4 Value-Claim,"Move token(s) on 1-2 number rows, compute a value via the variant's function, mark matching board cell, get 4 in a row",Great fit - single reusable engine,~15 variants share ONE engine; only the value-function + board content changes
Beeline,Multiplying Unit Fractions Beeline,5.NF.B.4.a,Beeline: Connect-4 Value-Claim,"Move token(s) on 1-2 number rows, compute a value via the variant's function, mark matching board cell, get 4 in a row",Great fit - single reusable engine,~15 variants share ONE engine; only the value-function + board content changes
Beeline,Multiplying Fractions Beeline,5.NF.B.4.a,Beeline: Connect-4 Value-Claim,"Move token(s) on 1-2 number rows, compute a value via the variant's function, mark matching board cell, get 4 in a row",Great fit - single reusable engine,~15 variants share ONE engine; only the value-function + board content changes
Beeline,Equivalent Fraction Beeline,3.NF.A.3,Beeline: Connect-4 Value-Claim,"Move token(s) on 1-2 number rows, compute a value via the variant's function, mark matching board cell, get 4 in a row",Great fit - single reusable engine,~15 variants share ONE engine; only the value-function + board content changes
Beeline,Angle Addition Beeline,"(angles, no std listed)",Beeline: Connect-4 Value-Claim,"Move token(s) on 1-2 number rows, compute a value via the variant's function, mark matching board cell, get 4 in a row",Great fit - single reusable engine,~15 variants share ONE engine; only the value-function + board content changes
Pop,Pop (base),2.NBT.A.1/4,Pop: Bust-if-Over Digit Placement,"Roll digit, place in a blank slot in a fixed expression template, get closest to target WITHOUT going over",Great fit - close to existing Scuttle code,Very similar to our Addition/Subtraction Scuttle engine already built
Pop,Addition Pop,"2.NBT.B.5/7, 4.NBT.B.4",Pop: Bust-if-Over Digit Placement,"Same as base Pop, different expression template (sum/diff/expression/perimeter/product/fraction/mixed-number)",Great fit,Reuse our existing dice-roll + slot-placement + leading-zero code directly
Pop,Subtraction Pop,"2.NBT.B.7/A.4, 4.NBT.B.4",Pop: Bust-if-Over Digit Placement,"Same as base Pop, different expression template (sum/diff/expression/perimeter/product/fraction/mixed-number)",Great fit,Reuse our existing dice-roll + slot-placement + leading-zero code directly
Pop,Expression Pop,"2.NBT.B.5/7,A.4",Pop: Bust-if-Over Digit Placement,"Same as base Pop, different expression template (sum/diff/expression/perimeter/product/fraction/mixed-number)",Great fit,Reuse our existing dice-roll + slot-placement + leading-zero code directly
Pop,Perimeter Pop,"3.NBT.A.2, 3.MD.D.8",Pop: Bust-if-Over Digit Placement,"Same as base Pop, different expression template (sum/diff/expression/perimeter/product/fraction/mixed-number)",Great fit,Reuse our existing dice-roll + slot-placement + leading-zero code directly
Pop,Big Number Pop,4.NBT.A.1/2,Pop: Bust-if-Over Digit Placement,"Same as base Pop, different expression template (sum/diff/expression/perimeter/product/fraction/mixed-number)",Great fit,Reuse our existing dice-roll + slot-placement + leading-zero code directly
Pop,Fraction Multiplication Pop,"4.NF.A.2, 4.NF.B.4",Pop: Bust-if-Over Digit Placement,"Same as base Pop, different expression template (sum/diff/expression/perimeter/product/fraction/mixed-number)",Great fit,Reuse our existing dice-roll + slot-placement + leading-zero code directly
Pop,Powers of Ten Pop,5.NBT.A.2,Pop: Bust-if-Over Digit Placement,"Same as base Pop, different expression template (sum/diff/expression/perimeter/product/fraction/mixed-number)",Great fit,Reuse our existing dice-roll + slot-placement + leading-zero code directly
